age,min,max
0,0.023418626,0.040725272
1,0.0,65.74482294
2,0.0,33.22692436
3,0.0,26.84299811
4,0.0,38.91056381
5,0.0,563.9620623
6,0.0,51.49144355
7,0.0,49.64698463
8,0.0,53.69278613
9,0.0,95.17075789
10,0.0,67.34198665
11,0.0,45.96699576
12,0.0,64.94159222
13,0.0,48.99391797
14,0.0,27.79860256
15,0.0,84.85329436
16,0.0,40.65917634
17,0.0,65.79996386
18,0.0,70.13740769
19,0.0,63.0601694
20,0.0,63.45673434
21,0.0,82.57941626
22,0.0,270.0110732
23,0.0,35.36173824
24,0.0,42.87550102
25,0.0,73.83984251
26,0.0,34.35413455
27,0.0,47.70097851
28,0.0,53.86475311
29,0.0,38.37142029
30,0.0,54.6292988
31,0.0,38.71576488
32,0.0,44.87412091
33,0.0,47.29022896
34,0.0,46.29803082
35,0.0,33.3770159
36,0.0,34.68882777
37,0.005240146,36.10853889
38,0.00542448,29.21151697
39,0.354410592,30.34688124
40,0.3867658,93.73158145
41,0.408539465,70.99327716
42,1.088564272,66.49227438
43,0.588245393,203.22
44,0.415308159,203.22
45,0.537712416,55.40999612
46,2.017577422,49.75736756
47,2.219742762,41.49
48,2.368911152,18.791057
49,2.275404256,16.6
50,2.770652112,2.770652112
51,2.911105395,15.482
52,2.72206242,48.5
53,48.5,49.134
54,44.424,49.13
55,44.42,44.42
56,8.9,99.667
57,99.67,99.67
58,58.952,58.952
59,48.91,57.608
60,46.7,57.61
61,47.81,50.701
62,50.7,50.7
63,1.99,198.114
64,51.587,198.11
65,51.59,103.321
66,25.9,103.32
71,57.753,57.753
72,57.75,57.75
74,36.1,36.1
79,9.39,9.39
80,65.7,65.7
83,16.6,110.0
85,45.0,45.0
88,29.0,29.0
89,29.0,53.6
90,25.2,25.2
