,Reboiler,Pump,Condenser,Resid water
intercept,-2.8E-01,-4.8E-03,1.35E+00,-4.84E-03
x1,2.2E-03,-1.9E-06,1.74E-03,-1.86E-06
x2,-5.1E-02,1.8E-05,-5.32E-02,1.76E-05
x3,3.1E+03,3.6E+01,-7.62E+01,3.60E+01
x4,-1.2E-02,-4.9E-05,-1.26E-01,-4.88E-05
x5,9.9E-03,4.6E-07,1.12E-03,4.55E-07
x1*x2,-5.0E-05,1.0E-08,-3.20E-05,1.02E-08
x1*x3,5.4E-02,-9.4E-04,5.75E-02,-9.37E-04
x1*x4,-4.3E-04,8.7E-09,-4.28E-04,8.74E-09
x1*x5,2.3E-07,5.7E-09,-3.44E-07,5.70E-09
x2*x3,2.9E+00,1.6E-02,1.69E+00,1.65E-02
x2*x4,1.1E-02,2.8E-07,1.12E-02,2.79E-07
x2*x5,-4.5E-05,-1.1E-07,-1.18E-05,-1.12E-07
x3*x4,6.9E+01,-1.7E-04,6.95E+01,-1.65E-04
x3*x5,-7.8E+00,-1.5E-02,1.34E-01,-1.53E-02
x4*x5,-2.4E-04,7.6E-09,-1.34E-04,7.61E-09
x1**2,9.9E-07,-1.0E-10,6.47E-07,-1.04E-10
x2**2,6.3E-04,-3.1E-08,4.54E-04,-3.10E-08
x3**2,-4.1E+04,4.2E+00,-2.71E+04,4.19E+00
x4**2,-3.7E-02,2.9E-06,-1.93E-02,2.88E-06
x5**2,-1.1E-05,9.1E-09,8.99E-07,9.13E-09
