Process,Natural gas,Upgrader proc. gas,NGL,Crude oil,Diesel,Residual fuel,Pet. coke
_,g/mmbtu,g/mmbtu,g/mmbtu,g/mmbtu,g/mmbtu,g/mmbtu,g/mmbtu
Exploration,68194,68194,66422,76513,78823,85706,107260
Drilling & Development,68194,68194,66422,76513,78491,85706,107260
DownholePump,68194,68194,66422,76513,78491,85664,107260
GasLiftingCompressor,68194,68194,66422,76513,78491,85664,107260
Mining,59660,68194,66422,76513,78491,85664,107260
WaterInjection,68194,68194,66422,76513,78491,85664,107260
GasReinjectionCompressor,68194,68194,66422,76513,78491,85664,107260
CO2ReinjectionCompressor,68194,68194,66422,76513,78491,85664,107260
SourGasReinjectionCompressor,68194,68194,66422,76513,78491,85664,107260
GasFloodingCompressor,68194,68194,66422,76513,78491,85664,107260
SteamInjectionWells,68194,68194,66422,76513,78491,85664,107260
Separation,59541,68194,66422,76513,78490,85664,107260
ProducedWaterTreatment,59541,68194,66422,76513,78490,85664,107260
MakeupWaterTreatment,59541,68194,66422,76513,78490,85664,107260
SteamGeneration,59660,68194,66422,76513,78490,85664,107260
CrudeOilDewatering,59541,68194,66422,76513,78490,85664,107260
CrudeOilStabilization,59541,68194,66422,76513,78490,85664,107260
HeavyOilUpgrading,59660,68194,66422,76513,78490,85664,107260
HeavyOilDilution,59541,68194,66422,76513,78490,85664,107260
CrudeOilStorage,59541,68194,66422,76513,78490,85664,107260
GasGathering,68194,68194,66422,76513,78491,85664,107260
GasDehydration,59541,68194,66422,76513,78490,85664,107260
AcidGasRemoval,59541,68194,66422,76513,78490,85664,107260
Demethanizer,59541,68194,66422,76513,78490,85664,107260
Chiller,59541,68194,66422,76513,78490,85664,107260
PreMembraneCompressor,68194,68194,66422,76513,78491,85664,107260
RyanHolmes,59541,68194,66422,76513,78491,85664,107260
VRUCompressor,68194,68194,66422,76513,78491,85664,107260
Liquefaction,68194,68194,66422,76513,78491,85664,107260
LNGTransport,68194,62048,66422,76513,78901,85783,107260
Regasification,59541,68194,66422,76513,78490,85664,107260
Maintenance,68194,68194,66422,76513,78491,85664,107260
Waste disposal,68194,68194,66422,76513,78491,85664,107260
CrudeOilTransport,68194,62048,66422,76513,78901,85783,107260
GasTransmissionCompressors,59468,68194,66422,76513,78491,85783,107260
Other,59541,68194,66422,76513,78491,85664,107260
GasStorageWells,68194,68194,66422,76513,78491,85664,107260
GasDistribution,68194,68194,66422,76513,78491,85664,107260
ElectricityGenAndImports,59468,68194,66422,76513,78491,85664,107260
