,Light HC,Heavy HC,CO2-rich
,frac,frac,frac
N2,1.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000
O2,1.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000
CO2,0.0052943400983234600000,0.0252111433253497000000,0.9694945165763270000000
H2O,1.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000
C1,0.9299719887955180000000,0.0000000000000000000000,0.0700280112044818000000
C2,0.0000000000000000000000,0.9278629395852120000000,0.0721370604147881000000
C3,0.0000000000000000000000,0.9968354430379750000000,0.0031645569620253200000
C4,0.0000000000000000000000,1.0000000000000000000000,0.0000000000000000000000
CO,1.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000
H2,1.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000
H2S,0.0000000000000000000000,0.0000000000000000000000,1.0000000000000000000000
SO2,1.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000
