Mode,Fuel,VOC,CO,CH4,N2O,CO2
_,_,g/mmbtu,g/mmbtu,g/mmbtu,g/mmbtu,g/mmbtu
Ocean tanker,Diesel,79.908003,181.596006,4.581,2,77652.0433
Ocean tanker,Residual oil,79.908003,181.596006,4.581,2,84534.22128
Ocean tanker,Natural gas,79.908003,90.798003,91.619997,2,58768.99809
Barge,Diesel,20.988,202.080997,1.028412,2,77813.25623
Barge,Residual oil,20.988,202.080997,1.028412,2,84695.43421
Barge,Natural gas,20.988,101.040498,20.56824,2,59131.92908
Locomotive,Diesel,41.0512,137.759409,6.824511,2.132138,77835.86343
Pipeline turbine,Natural gas,0.908,77.18,23.154,2,59224.89598
Pipeline engine,Natural gas,133.316,705.993,500,50,56512.76316
Pipeline engine,Diesel,40.86,459.6,4.54,2,77336.99224
Heavy HDV truck,Diesel,16.719035,68.316154,19.145193,0.082522,77986.94192
