Rig Efficiency,Hole Size,Simple,Moderate,Complex
_,_,gallon/ft,gallon/ft,gallon/ft
Low,Small,0.34318981,0.353579537,0.647696652
Low,Med,0.336893573,0.358659256,0.48702294
Low,Large,0.450898991,0.499685539,0.635420748
Low,Extra large,0.423292835,0.438996207,0.727576203
Med,Small,0.312125678,0.322376125,0.596840224
Med,Med,0.306129722,0.325964356,0.445997621
Med,Large,0.411186966,0.458771194,0.570753363
Med,Extra large,0.386906328,0.401998799,0.670511789
High,Small,0.286396096,0.296413632,0.55363986
High,Med,0.280681938,0.311977687,0.403576122
High,Large,0.377957499,0.422979389,0.529527337
High,Extra large,0.356503364,0.370967017,0.621998704
